id,canonical_name,site,context,findspot,support,scribe,linear_a_text,linear_a_text_with_linebreaks,transliteration_text,gloss_text,image_rights,image_rights_url,source_dataset,undeciphered_language_notice
ARKH4a,ARKH4a,Arkhalkhori,,,Tablet,,"𐝫
𐝫𐘝𐘳𐝫
𐝫𐘳𐄁𐘙𐄋𐘇𐝫
𐄁𐝫𐘶𐄊𐘦𐘲𐝫𐄁𐝫
𐘨𐘃𐄋𐘢𐘠𐘗
𐘇𐝫
𐝫","𐝫
𐝫𐘝𐘳𐝫
𐝫𐘳𐄁𐘙𐄋
𐘇𐝫𐄁𐝫𐘶𐄊
𐘦𐘲𐝫𐄁𐝫𐘨𐘃𐄋
𐘢𐘠𐘗𐘇𐝫
𐝫","𐝫 
 NI-TA 
 TA 𐄁 RE 5 
 A 𐄁 JU 4 
 DE-SU 𐄁 *47-TE 5 
 PI-TI-NE-A 
 𐝫","𐝫 
 NI-TA 
 TA 𐄁 RE 5 
 A 𐄁 flour 4 
 DE-SU 𐄁 *47-TE 5 
 PI-TI-NE-A 
 𐝫",,papers/GORILA-Vol3.pdf#page=35,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
ARKH4b,ARKH4b,Arkhalkhori,,,Tablet,,"𐝫
𐝫
𐝫𐘙𐄐𐘉𐝫
𐝫𐘦𐘻𐄐𐘚𐘨𐝫
𐄏𐘇𐘸𐘁𐄉
𐘍𐘤𐙀𐝫𐄉
𐝫","𐝫
𐝫
𐝫𐘙𐄐
𐘉𐝫
𐝫𐘦𐘻𐄐
𐘚𐘨𐝫𐝫𐄏
𐘇𐘸𐘁𐄉
𐘍𐘤𐙀𐝫𐝫𐄉
𐝫","𐝫 
 𐝫 
 RE 10 
 U 
 DE-MI 10 
 I-*47 9 
 A-KI-RO 3 
 ZA-SI-ZU 3 
 𐝫","𐝫 
 𐝫 
 RE 10 
 U 
 DE-MI 10 
 I-*47 9 
 A-KI-RO 3 
 ZA-SI-ZU 3 
 𐝫",,papers/GORILA-Vol3.pdf#page=37,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
ARKH5,ARKH5,Arkhalkhori,LMIB,,Tablet,,"𐘇𐘬𐘝𐘳𐘅𐄓𐄇𐝫
𐝫𐄍𐘇𐘀𐘁𐙉𐄓𐝫
𐙎𐄌𐘇𐝫
𐝫","𐘇𐘬𐘝𐘳𐘅𐄓𐄇𐝫
𐝫𐄍
𐘇𐘀𐘁𐙉𐄓𐝫
𐙎𐄌
𐘇𐝫
𐝫","A-DU-NI-TA-NA 41 
 7 
 A-DA-RO GRA 40 
 *131B 6 
 A 
 𐝫","A-DU-NI-TA-NA 41 
 7 
 A-DA-RO grain 40 
 lesser quality wine 6 
 A 
 𐝫",,papers/GORILA-Vol3.pdf#page=41,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
ARKH6,ARKH6,Arkhalkhori,LMIB,,Tablet,,"𐘀𐘅𐘹𐄁𐙂𐝫
𐝫𐘃𐘭𐝫
𐝫","𐘀𐘅𐘹𐄁𐙂𐝫
𐝫𐘃𐘭𐝫
𐝫","DA-NA-TU 𐄁 KU 
 TE-RI 
 𐝫","DA-NA-TU 𐄁 KU 
 TE-RI 
 𐝫",,papers/GORILA-Vol3.pdf#page=43,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
ARKH7,ARKH7,Arkhalkhori,LMIB,,Tablet,,"𐝫
—
𐙜𐝂
𐝫","𐝫
—
𐙜𐝂
𐝫","𐝫 
 — 
 *308 ¹⁄₅ 
 𐝫","𐝫 
 — 
 olive oil ¹⁄₅ 
 𐝫",,papers/GORILA-Vol3.pdf#page=43,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
ARKHZc8,ARKHZc8,Arkhalkhori,MMIA,,Inked inscription,,𐙚𐘳𐘧,𐙚𐘳𐘧,*306-TA-JE,*306-TA-JE,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
ARKHZf9,ARKHZf9,Arkhalkhori,LMI,,Metal object,,𐘱𐘸𐘤𐘸𐘯𐄁𐘻𐘀𐙁𐘽𐄁,𐘱𐘸𐘤𐘸𐘯𐄁𐘻𐘀𐙁𐘽𐄁,JA-KI-SI-KI-NU 𐄁 MI-DA-MA-RA₂ 𐄁,JA-KI-SI-KI-NU 𐄁 MI-DA-MA-RA₂ 𐄁,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
ARMZg1,ARMZg1,Armenoi,MMII,,Stone object,,𐜈,𐜈,*301+*311,*301+*311,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
ARZf1,ARZf1,Arkhalkhori,,,Metal object,AR Scribe 1,𐘚𐘀𐙁𐘃,𐘚𐘀𐙁𐘃,I-DA-MA-TE,"""to"" DA-MA-TE",© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=184,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
ARZf2,ARZf2,Arkhalkhori,,,Metal object,AR Scribe 2,𐘚𐘀𐙁𐘃𐝫,𐘚𐘀𐙁𐘃𐝫,I-DA-MA-TE,"""to"" DA-MA-TE",© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=204,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
CR(?)Zf1,CR(?)Zf1,Crete,,,Metal object,,𐘇𐙁𐘮𐘤𐄁𐘾𐘝𐘱𐘻𐄁𐘚𐘱𐄁𐘌𐘸𐘈𐘯𐘠𐄁𐘇𐘳𐘦,𐘇𐙁𐘮𐘤𐄁𐘾𐘝𐘱𐘻𐄁𐘚𐘱𐄁𐘌𐘸𐘈𐘯𐘠𐄁𐘇𐘳𐘦,A-MA-WA-SI 𐄁 KA-NI-JA-MI 𐄁 I-JA 𐄁 QA-KI-SE-NU-TI 𐄁 A-TA-DE,A-MA-WA-SI 𐄁 KA-NI-JA-MI 𐄁 I-JA 𐄁 QA-KI-SE-NU-TI 𐄁 A-TA-DE,,papers/GORILA-Vol4.pdf#page=204,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
CRZf5,CRZf5,Crete,,,Metal object,,𐘱,𐘱,JA,JA,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
CRZg3,CRZg3,Crete,,,Stone object,,𐙍𐝫 ≈ 𐘝 ≈ 𐛿,𐙍𐝫 ≈ 𐘝 ≈ 𐛿,VIN ≈ NI ≈ VIN+RA,wine ≈ figs ≈ wine,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
CRZg4,CRZg4,Crete,,,Stone object,,"𐘚𐘀𐘀
𐘇𐘁𐘃","𐘚𐘀𐘀
𐘇𐘁𐘃","I-DA-DA 
 A-RO-TE","I-DA-DA 
 A-RO-TE",,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
DRAZg1,DRAZg1,,,,Stone object,,𐘀𐘬𐙕𐝫,𐘀𐘬𐙕𐝫,DA-DU-*301,DA-DU-*301,"Fol, Schmitt",papers/DRAZg1.pdf,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
FOZc1,FOZc1,Fourni,,,Inked inscription,,𐙚𐘳𐘧,𐙚𐘳𐘧,*306-TA-JE,*306-TA-JE,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
GO2r,GO2r,Gournia,,,Tablet,,"𐝫
𐘤𐝫
𐘾𐝄𐘤𐄈𐘀𐝫
𐘤𐘀𐘁𐝃𐝫
𐝫𐘈𐝫
𐝫","𐝫
𐘤𐝫
𐘾𐝄
𐘤𐄈
𐘀𐝫
𐘤𐘀𐘁𐝃𐝫
𐝫𐘈𐝫
𐝫","𐝫 
 SI 
 KA ¹⁄₈ 
 SI 2 
 DA 
 SI-DA-RO ¹⁄₄ 
 SE 
 𐝫","𐝫 
 SI 
 KA ¹⁄₈ 
 SI 2 
 DA 
 SI-DA-RO ¹⁄₄ 
 SE 
 𐝫",,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
GO2v,GO2v,Gournia,,,Tablet,,"𐝫
𐝫𐄇𐝄𐘀𐝫
𐘙𐄇𐝫𐘈𐘤𐝫
𐝫
𐝫","𐝫
𐝫𐄇𐝄
𐘀𐝫
𐘙𐄇𐝫
𐘈𐘤𐝫
𐝫
𐝫","𐝫 
 
 
 
 
 
 1 ¹⁄₈ DA RE 1 SE-SI 𐝫 𐝫","𐝫 
 
 
 
 
 
 1 ¹⁄₈ DA RE 1 SE-SI 𐝫 𐝫",,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
GOWc1a,GOWc1a,Gournia,,,Roundel,,"𐘇𐘞
𐘲𐙁
𐘚𐘈",𐘇𐘞𐘲𐙁𐘚𐘈,A-SA-SU-MA-I-SE,A-SA-SU-MA-I-SE,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
GOWc1b,GOWc1b,Gournia,,,Roundel,,𐘖𐄋,𐘖𐄋,*23M 5,bull 5,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
GOWc3,GOWc3,Gournia,LMIB,,Roundel,,"𐝬𐄑,𐄈","𐝬𐄑,𐄈","*809 𐄑,𐄈","*809 𐄑,𐄈",,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HSZg1,HSZg1,Haghios Stehanos,,,Stone object,,𐘇𐙁,𐘇𐙁,A-MA,A-MA,© École Française d'Athènes,papers/GORILA-Vol5.pdf#page=69,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HT1,HT1,Haghia Triada,LMIB,Portico 11 and Room 13,Tablet,HT Scribe 21,"𐘿𐘽𐘉𐄁𐘸𐘁𐄙𐄘
𐄍𐙀𐘲𐄖𐘆𐘆
𐘍𐘥𐄔𐄈𐙂𐘰𐘯𐄙
𐄏𐘇𐘴𐘅𐘙𐄙𐄋","𐘿𐘽𐘉𐄁
𐘸𐘁𐄙𐄘𐄍
𐙀𐘲𐄖
𐘆𐘆𐘍𐘥𐄔𐄈
𐙂𐘰𐘯𐄙𐄏
𐘇𐘴𐘅𐘙𐄙𐄋","QE-RA₂-U 𐄁 
 KI-RO 197 
 ZU-SU 70 
 DI-DI-ZA-KE 52 
 KU-PA₃-NU 109 
 A-RA-NA-RE 105","QE-RA₂-U 𐄁 
 ""owed"" 197 
 ZU-SU 70 
 DI-DI-ZA-KE 52 
 KU-PA₃-NU 109 
 A-RA-NA-RE 105",© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=38,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HT100,HT100,Haghia Triada,LMIB,Casa Room 7,Tablet,,"𐝫𐛧𐄔𐄎𐜝
𐝫𐛃𐄐𐄈𐘸𐄈𐙙𐄋𐛩
𐄐𐄌𐙂𐘁𐄘𐄍
𐘞𐘽𐙗𐄋𐝃𐘝𐄈𐝓𐙍𐄈𐝆
𐜋𐄈𐝅𐜗𐄉𐜍𐝕","𐝫𐛧𐄔𐄎
𐜝𐝫𐝫
𐛃𐄐𐄈
𐘸𐄈
𐙙𐄋
𐛩𐄐𐄌
𐙂𐘁𐄘𐄍
𐘞𐘽𐙗𐄋𐝃
𐘝𐄈𐝂𐝂
𐙍𐄈𐝆
𐜋𐄈𐝅
𐜗𐄉
𐜍𐝕","VIR+KA 58 
 *304+PA 𐝫 
 TI+A 12 
 KI 2 
 *305 5 
 VIR+*313a 16 
 KU-RO 97 
 SA-RA₂ CYP 5 ¹⁄₄ 
 NI 2 double mina 
 VIN 2 ¹⁄₂ 
 OLE+U 2 ≈ ¹⁄₆ 
 OLE+MI 3 
 OLE+NE ³⁄₄","VIR+KA 58 
 *304+PA 𐝫 
 TI+A 12 
 KI 2 
 *305 5 
 VIR+*313a 16 
 ""total"" 97 
 SA-RA₂ cyperus 5 ¹⁄₄ 
 figs 2 double mina 
 wine 2 ¹⁄₂ 
 olive oil 2 ≈ ¹⁄₆ 
 olive oil 3 
 olive oil ³⁄₄",© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=200,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HT101,HT101,Haghia Triada,LMIB,Casa Room 7,Tablet,HT Scribe 2,"𐙀𐘓𐘆𐛱𐄓
𐜋𐄎𐜗𐄎𐜓𐄈
𐘞𐘽𐙉𐄓𐄇𐜋𐙖𐄐𐚸𐄉
𐙂𐘰𐝫𐜋𐄈
—
𐝫𐄑𐙘𐄉𐜓𐄈
𐝫𐄉𐙋𐄇𐝃𐛺𐄇","𐙀𐘓𐘆𐛱𐄓
𐜋𐄎
𐜗𐄎
𐜓𐄈
𐘞𐘽𐙉𐄓𐄇
𐙖𐄐
𐚸𐄉
𐙂𐘰𐝫𐝫𐜋𐄈
—
𐝫𐄑
𐙘𐄉
𐜓𐄈𐝫
𐝫𐄉
𐙋𐄇𐝃
𐛺𐄇","ZU-*22F-DI GRA+QE 40 
 OLE+U 8 
 OLE+MI 8 
 OLE+KI 2 
 SA-RA₂ GRA 41 
 OLE 10 
 DI+QE 3 
 KU-PA₃ OLE+U 2 
 — 
 20 
 *304 3 
 OLE+KI 2 
 3 
 OLIV 1 ¹⁄₄ 
 *OLIV+TU 1","ZU-*22F-DI grain 40 
 olive oil 8 
 olive oil 8 
 olive oil 2 
 SA-RA₂ grain 41 
 olive oil 10 
 DI+QE 3 
 KU-PA₃ olive oil 2 
 — 
 20 
 olive oil 3 
 olive oil 2 
 3 
 olives 1 ¹⁄₄ 
 *OLIV+TU 1",© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=202,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HT102,HT102,Haghia Triada,LMIB,Casa Room 7,Tablet,HT Scribe 5,"𐘾𐘂𐘞𐘽𐙉𐄡
𐄖𐄌𐘰𐘝𐛭𐄒𐄉𐝫
𐙇𐛭𐄒𐄉𐘆𐘭𐘅𐄐𐙁
𐙀𐄉𐘣𐄐𐘚𐘾𐄋
𐙂𐘁𐄢𐄕","𐘾𐘂
𐘞𐘽𐙉𐄡𐄖𐄌
𐘰𐘝𐛭𐄒𐄉𐝫
𐝫𐙇𐛭𐄒𐄉
𐘆𐘭𐘅𐄐
𐙁𐙀𐄉
𐘣𐄐
𐘚𐘾𐄋
𐙂𐘁𐄢𐄕","KA-PA 
 SA-RA₂ GRA 976 
 PA₃-NI GRA+PA 33 
 VIR+[?] GRA+PA 33 
 DI-RI-NA 10 
 MA-ZU 3 
 WI 10 
 I-KA 5 
 KU-RO 1060","""summary account?"" 
 SA-RA₂ grain 976 
 PA₃-NI grain 33 
 VIR+[?] grain 33 
 DI-RI-NA 10 
 MA-ZU 3 
 WI 10 
 I-KA 5 
 ""total"" 1060",© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=204,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HT103,HT103,Haghia Triada,LMIB,Casa Room 7,Tablet,HT Scribe 3,"𐘉𐘷𐄁𐘝𐄓
𐘰𐘀𐙂𐘈𐘗
𐝫𐄌𐝆𐙓𐄐𐄉
𐘀𐙂𐘅𐄇𐘀𐙂𐘈
𐘗𐄇𐘸𐝢𐄋𐝆","𐘉𐘷𐄁𐘝𐄓
𐘰
𐘀𐙂𐘈𐘗𐝫𐝫𐄌𐝆
𐙓𐄐𐄉
𐘀𐙂𐘅𐄇
𐘀𐙂𐘈𐘗𐄇
𐘸𐘴𐄋𐝆","U-TA₂ 𐄁 NI 40 
 PA₃ 
 DA-KU-SE-NE 6 ¹⁄₂ 
 *188 13 
 DA-KU-NA 1 
 DA-KU-SE-NE 1 
 KI-RA 5 ¹⁄₂","U-TA₂ 𐄁 figs 40 
 PA₃ 
 DA-KU-SE-NE 6 ¹⁄₂ 
 *188 13 
 DA-KU-NA 1 
 DA-KU-SE-NE 1 
 ""balance"" 5 ¹⁄₂",© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=206,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HT104,HT104,Haghia Triada,LMIB,Casa Room 7,Tablet,HT Scribe 5,"𐘳𐘂𐄁𐚷𐄁𐘀𐙂
𐘈𐘗𐘠𐄓𐄋𐝆𐘚
𐘬𐘠𐄑𐝆𐘂𐘀
𐘲𐘠𐄑𐄏
𐙂𐘁𐄘𐄋","𐘳𐘂𐄁𐚷𐄁
𐘀𐙂𐘈𐘗𐘠𐄓𐄋𐝆
𐘚𐘬𐘠𐄑𐝆
𐘂𐘀𐘲𐘠𐄑𐄏
𐙂𐘁𐄘𐄋","TA-PA 𐄁 TE+RO[ 𐄁 
 DA-KU-SE-NE-TI 45 ¹⁄₂ 
 I-DU-TI 20 ¹⁄₂ 
 PA-DA-SU-TI 29 
 KU-RO 95","TA-PA 𐄁 TE+RO[ 𐄁 
 ""from"" DA-KU-SE-NE 45 ¹⁄₂ 
 ""from"" a hypothetical *I-DU (Ida?) 20 ¹⁄₂ 
 ""from"" a hypothetical *PA-DA-SU 29 
 ""total"" 95",© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=206,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HT105,HT105,Haghia Triada,LMIB,Casa Room 7,Tablet,,"𐘾𐘂𐝫
𐙇𐄚𐄒𐄊
𐘞𐘽𐄁𐙇𐄚𐄒𐄋","𐘾𐘂𐝫
𐝫
𐝫𐙇𐄚𐄒𐄊
𐘞𐘽𐄁𐙇𐄚𐄒𐄋","KA-PA 
 𐝫 
 VIR+[?] 234 
 SA-RA₂ 𐄁 VIR+[?] 235","""summary account?"" 
 𐝫 
 VIR+[?] 234 
 SA-RA₂ 𐄁 VIR+[?] 235",© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=208,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HT106,HT106,Haghia Triada,LMIB,Casa Room 7,Tablet,HT Scribe 19,"𐘻𐘯𐘃𐙗𐄌𐝫
𐘤𐄋𐝆𐘤𐄇
—
𐘀𐝫𐄁𐝫𐄎𐝫
𐝫𐘤𐄉𐝫
𐝫","𐘻𐘯𐘃𐙗𐄌𐝫
𐘤𐄋𐝆
𐘤𐄇
—
𐘀𐝫𐄁𐝫𐄎𐝫
𐝫𐘤𐄉𐝫
𐝫","MI-NU-TE CYP 6 
 SI 5 ¹⁄₂ 
 SI 1 
 — 
 DA 𐄁 
 
 8 SI 3 𐝫","MI-NU-TE cyperus 6 
 SI 5 ¹⁄₂ 
 SI 1 
 — 
 DA 𐄁 
 
 8 SI 3 𐝫",© École Française d'Athènes,papers/GORILA-Vol1.pdf#page=208,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
